month,t2m,tp,sm,vpd,spei,t2mmax
11,1.760766315136424,39.33744022762848,0.023857878011600848,0.20847215365574698,1.0243763819597378,2.935226716187452
12,3.612562135966836,23.208295872341267,0.021559419118076472,0.16986958252905598,0.9215085192546457,4.875726666434893
1,2.928755747526333,29.639077448780576,0.01718345673181624,0.13402874371737186,1.0169403797387253,2.3321683949024172
2,2.9378453670195483,24.969915559224194,0.01676605145225179,0.17322949287032607,1.197712233767304,2.924995060285239
3,1.801933848717577,20.90895932122293,0.022600914113196573,0.36090596290271576,1.1589441633806676,2.77549764379407
4,1.5015740033690388,21.441742817073617,0.026316344893482602,0.5410202814688189,1.0006424733319483,2.4860036201050026
5,1.1561364200589772,27.550769673744735,0.028400013662275767,0.7805725317093787,0.8672061349603597,2.709889922121072
6,1.5911674766102293,32.9654882009432,0.04118103523828484,1.8614788602310413,1.0175959226204494,4.335745108492469
7,1.2727175304145752,31.581326388550565,0.04631875136746933,2.032717144131656,1.0389128783776977,2.6216699132661465
8,1.0416503016471133,36.43569965500083,0.032065643757142825,1.2383319056528328,0.9056064839419019,1.6036531337701287
9,1.2858381324407373,40.28637808911153,0.03680831295426007,1.0942387045091546,0.8832493697033923,2.4864923203184146
10,2.4025380307170057,30.66420290990719,0.04317542931291662,0.5525665219854654,1.1295050179863089,3.5888566641168524
